date,dow,eurusd,gbpusd,gold,ust10y
2016-01-04,17148.94,1.0854,1.4737,1075.1,2.245
2016-01-05,17158.66,1.0828,1.4714,1078.4,2.248
2016-01-06,16906.51,1.0752,1.4674,1091.9,2.177
2016-01-07,16514.1,1.0779,1.463,1107.7,2.153
2016-01-08,16346.45,1.0926,1.4627,1097.8,2.13
2016-01-11,16398.57,1.0941,1.4525,1096.5,2.158
2016-01-12,16516.22,1.0858,1.4544,1085.6,2.102
2016-01-13,16151.41,1.0844,1.4436,1087.5,2.066
2016-01-14,16379.05,1.0886,1.4408,1073.9,2.098
2016-01-15,15988.08,1.0859,1.4427,1091.5,2.033
2016-01-19,16016.02,1.0895,1.4253,1089.9,2.035
2016-01-20,15766.74,1.0913,1.4182,1107.1,1.984
2016-01-21,15882.68,1.0877,1.4199,1099.1,2.019
2016-01-22,16093.51,1.0862,1.4227,1097.2,2.048
2016-01-25,15885.22,1.0799,1.426,1106.2,2.022
2016-01-26,16167.23,1.0853,1.4243,1121.7,1.994
2016-01-27,15944.46,1.0865,1.4343,1116.1,2.001
2016-01-28,16069.64,1.0908,1.4249,1115.6,1.985
2016-01-29,16466.3,1.0937,1.4362,1116.4,1.931
2016-02-01,16449.18,1.0826,1.4246,1127.9,1.966
2016-02-02,16153.54,1.0897,1.4428,1127.3,1.864
2016-02-03,16336.66,1.0922,1.4409,1141.3,1.881
2016-02-04,16416.58,1.1091,1.4586,1157.6,1.864
2016-02-05,16204.97,1.12,1.4581,1157.8,1.848
2016-02-08,16027.05,1.1145,1.4512,1197.9,1.735
2016-02-09,16014.38,1.119,1.4436,1198.7,1.729
2016-02-10,15914.74,1.129,1.4466,1194.7,1.705
2016-02-11,15660.18,1.1281,1.4526,1247.9,1.644
2016-02-12,15973.84,1.1318,1.4482,1239.1,1.748
2016-02-16,16196.41,1.1174,1.4459,1207.9,1.778
2016-02-17,16453.83,1.1147,1.4304,1211.1,1.819
2016-02-18,16413.43,1.1123,1.4282,1226.1,1.759
2016-02-19,16391.99,1.1111,1.4333,1230.4,1.748
2016-02-22,16620.66,1.1124,1.4266,1209.5,1.766
2016-02-23,16431.78,1.1028,1.4148,1222.3,1.745
2016-02-24,16484.99,1.1027,1.4013,1238.7,1.742
2016-02-25,16697.29,1.1014,1.393,1238.2,1.697
2016-02-26,16639.97,1.1025,1.3966,1219.8,1.762
