date,dow,eurusd,gbpusd,gold,ust10y,total_pnl
2016-01-05,19837.96083023126,-47908.60512253525,-15606.97563954605,46042.22862989782,-7500.000000000284,-5135.391301952506
2016-01-06,-514332.1215059932,-140376.8008865902,-27184.993883376806,187778.18991097983,177500.00000000044,-316615.72636498
2016-01-07,-812370.5010673415,50223.21428571619,-29985.007496251546,217052.8436670016,60000.00000000005,-515079.4506108752
2016-01-08,-355317.5771007755,272752.574450319,-2050.580997950968,-134061.56901688338,57500.00000000033,-161177.15266529054
2016-01-11,111596.09578838326,27457.440966505153,-69734.05346277439,-17762.79832392036,-70000.00000000006,-18443.315031806385
2016-01-12,251104.21213557333,-151722.87725070844,13080.895008605876,-149110.80711354496,140000.00000000012,103351.42277992592
2016-01-13,-773079.4334296853,-25787.437833857395,-74257.4257425732,26252.763448785245,90000.00000000007,-756871.5335573305
2016-01-14,493294.39349257597,77462.19107340302,-19395.9545580491,-187586.20689655058,-80000.00000000007,283774.4231113792
2016-01-15,-835454.4372231587,-49604.99724416589,13187.118267630194,245832.9453394148,162499.99999999985,-463539.37086027965
2016-01-19,61164.317416479986,66304.44792337986,-120607.19484300319,-21988.08978469857,-5000.000000000559,-20126.519287842475
2016-01-20,-544754.5644923052,33042.68012850109,-49814.07422998796,236718.96504266156,127500.0000000004,-197306.99355113012
2016-01-21,257370.89594932372,-65976.35847154893,11987.025807360662,-108391.29256616342,-87500.00000000035,7490.27071897166
2016-01-22,464597.284589251,-27581.134503995574,19719.698570321852,-25930.30661450113,-72499.99999999978,358305.54204107635
2016-01-25,-452986.94939761574,-116000.73651261145,23195.332817880222,123040.46664236345,65000.00000000061,-357751.886449983
2016-01-26,621354.3155209667,100009.26011667577,-11921.458625526737,210178.9911408425,69999.9999999995,989621.1081529576
2016-01-27,-482268.7621812766,22113.70128075263,70209.92768377531,-74886.33324418403,-17499.999999999738,-482331.4664609324
2016-01-28,274785.0977706401,79153.24436263305,-65537.19584466156,-6719.827972404557,39999.99999999948,321681.3183162065
2016-01-29,863933.4795303422,53171.983865052396,79303.81079373827,10756.543564004462,135000.00000000012,1142165.8177531373
2016-02-01,-36389.47425954719,-202980.70768949293,-80768.69516780328,154514.5109279822,-87499.9999999998,-253124.36618886102
2016-02-02,-629052.6336267194,131165.71217439254,127755.15934297266,-7979.43080060537,254999.99999999968,-123111.19290995985
